,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.005793309211730957,0.28127007484436034,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
1,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.011586618423461915,0.3212049245834351,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
2,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01737992763519287,0.337786865234375,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
3,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02317323684692383,0.35344011783599855,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
4,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.028966546058654785,0.3691395282745361,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
5,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03475985527038574,0.3888084888458252,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
6,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.040553164482116696,0.4041808843612671,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
7,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04634647369384766,0.4514869928359985,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
8,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.052139782905578615,0.5170902252197266,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
9,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05793309211730957,0.5392927885055542,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LFDA+kNN,ionosphere
