,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.002853536605834961,0.2636549949645996,0.0,LFDA+kNN,ionosphere
1,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.005707073211669922,0.2929724454879761,0.0,LFDA+kNN,ionosphere
2,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.008560609817504884,0.314086389541626,0.0,LFDA+kNN,ionosphere
3,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.011414146423339844,0.3338348865509033,0.0,LFDA+kNN,ionosphere
4,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.014267683029174805,0.3505448579788208,0.0,LFDA+kNN,ionosphere
5,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.017121219635009767,0.3688992977142334,0.0,LFDA+kNN,ionosphere
6,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.019974756240844726,0.407477593421936,0.0,LFDA+kNN,ionosphere
7,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.022828292846679688,0.4726558208465576,0.0,LFDA+kNN,ionosphere
8,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.025681829452514647,0.4915881872177124,0.0,LFDA+kNN,ionosphere
9,Cascading:the leading minor of order 2 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02853536605834961,0.5068072319030762,0.0,LFDA+kNN,ionosphere
