,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0061701774597167965,0.33826522827148436,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
1,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.012340354919433593,0.39522860050201414,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
2,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01851053237915039,0.4678260564804077,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
3,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.024680709838867186,0.5477224349975586,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
4,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.030850887298583984,0.6403151750564575,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
5,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03702106475830078,0.7266276836395263,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
6,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04319124221801758,0.8452161550521851,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
7,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04936141967773437,0.9509129285812378,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
8,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05553159713745117,1.026294207572937,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
9,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06170177459716797,1.1460797548294068,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
10,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,6,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06787195205688476,1.2022095441818237,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
11,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,6,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07404212951660157,1.2718235731124878,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
12,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,7,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08021230697631836,1.350903034210205,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
13,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,7,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08638248443603516,1.4346296787261963,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
14,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,8,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09255266189575195,1.517408800125122,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
15,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,8,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09872283935546874,1.649613857269287,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
16,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,9,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10489301681518555,1.731475281715393,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
17,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,9,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.11106319427490234,1.817145323753357,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
18,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,10,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.11723337173461915,1.897539234161377,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
19,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,10,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12340354919433594,1.9829643011093139,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
20,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,11,weighted,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12957372665405273,2.0772430181503294,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
21,Cascading:the leading minor of order 1 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,11,orthonormalized,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13574390411376952,2.1972084283828734,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LFDA+kNN,digits6
